00401204300014800552437204PPB-PORTARIA INTERMINISTERIAL Nº 34/2020 MDIC/MCT E PORTARIA 0330/2010          AMORTECEDOR DIANTEIRO DIREITO                                                   87141000UNIDADE                                                                         00000000208000000000000000000000000000000000N                               2F
10001K0W HK0W1-014-01-BR / 51400-K0W-B012-M1                                         000000000002162HK0W1-014-01-BR
2000100000182621    00170469000179114213768113   20230403ARRUELA DE VEDACAO                                                              PC                                                                              73182100000000010000000000000000064800
2000200000438321    57486326000198442001142119   20230404PARAFUSO ALLEN                                                                  PC                                                                              73181500000000010000000000000000069000
2000300000418461    60601309000592373219000000   20230329MOLA BATENTE                                                                    PC                                                                              73202010000000010000000000000000135300
2000400000045131    21528285000108257530860      20230329BUCHA DIFUSOR DO OLEO                                                           PC                                                                              73182900000000010000000000000000530000
2000500000045141    21528285000108257530860      20230329CAIXA VALVULA                                                                   PC                                                                              87141000000000010000000000000000309700
2000600000776351    73070294000525417091123119   20230327ANEL TRAVA RETENTOR                                                             PC                                                                              73182900000000010000000000000000035200
2000700000486093    61615969000161206105710118   20230414BUCHA GUIA                                                                      PC                                                                              73182900000000010000000000000000212600
2000800000045151    21528285000108257530860      20230329DIFUSOR DO OLEO                                                                 PC                                                                              87141000000000010000000000000000349100
2000900000204781    11323786001257645965000000   20230330OIL SS-8G                                                                       LT                                                                              27101992000000001270000000000004491900
40001SS2307041124002010000000000                                  00000000ANEL DE PALSTICO.                                                                                                                                               00000000000000010000000N000000000076900
40002SS2307639674018010000000000                                  00000000MOLA VALVULA DO LIMITADOR, DE ACO.                                                                                                                              00000000000000010000000N000000000030100
40003SS2223902994006010000000000                                  00000000ANEL TRAVA, DE ACO.                                                                                                                                             00000000000000010000000N000000000076200
40004SS2307041124027010000000000                                  00000000RETENTOR DE METAL COMUM REVESTIDO DE BORRACHA VULCANIZADA NAO ENDURECIDA, COM MO                                                                                00000000000000010000000N000000000490500
40005SS2306203155007020000000000                                  00000000TUBO DO ASSENTO DA MOLA.                                                                                                                                        00000000000000010000000N000000001211000
40006SS2306203155001010000000000                                  00000000MOLA HELICOIDAL CILINDRICA, DE ACO.                                                                                                                             00000000000000010000000N000000000848300
40007SS2307041124027060000000000                                  00000000GUARDA-PO DO AMORTECEDOR.                                                                                                                                       00000000000000010000000N000000000400500
40008SS2306626293028020000000000                                  00000000VALVULA DE RETENCAO.                                                                                                                                            00000000000000010000000N000000000047900
40009SS2307639674008010000000000                                  00000000ANEL DE ACO.                                                                                                                                                    00000000000000010000000N000000000116300
40010SS2305136128004010000000000                                  00000000ASSENTO DA MOLA.                                                                                                                                                00000000000000010000000N000000000365400
40011SS2307041124007030000000000                                  00000000ANEL DE BORRACHA VULCANIZADA NAO ENDURECIDA.                                                                                                                    00000000000000010000000N000000000075900
900000023
